PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1135388.00;1.000;11; ;TÉCNICO EN APROVISIONAMIENTO INFORMÁTICO                                                                                                                                                                                                                        
TECNICO ASISTENCIAL A;787771.00;1.000;11; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ASISTENCIAL A;883123.00;1.000;11; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ASISTENCIAL B;940266.00;1.000;11; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESOR INTERINO LICENCIADO           ;1171589.25;1.000;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;594445.85;0.525;8; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;440431.00;1.000;10; ;REVISOR DE SALIDA DE RECURSOS BIBLIOGRÁFICOS Y EQUIPO                                                                                                                                                                                                           
PROFESOR INTERINO LICENCIADO           ;379754.50;0.375;5; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1009711.00;1.000;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;440829.85;0.525;1;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;772296.00;1.000;8; ;TÉCNICO EN MANTENIMIENTO DE EQUIPO                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO C;1001870.00;1.000;11; ;
TECNICO ESPECIALIZADO B;397071.90;1.000;7;MES INCOMPLETO;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
TRABAJADOR OPERATIVO B;845471.00;1.000;11; ;MENSAJERO                                                                                                                                                                                                                                                       
PROFESIONAL A;1183443.00;1.000;11; ;PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      
PROFESIONAL B;1467658.00;1.000;5; ;PROFESIONAL EN APOYO A LA INVESTIGACIÓN DE LANAMME                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;2; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1561758.00;1.000;9; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;904680.00;1.000;11; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TRABAJADOR OPERATIVO C;804650.00;1.000;11; ;AUXILIAR DE LABORATORIO                                                                                                                                                                                                                                         
TECNICO ASISTENCIAL B;697395.00;1.000;8; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
TECNICO ASISTENCIAL A;831170.00;1.000;11; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;435596.50;0.500;7; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1152495.00;1.000;9; ;PROFESIONAL COORDINADOR DE ARCHIVO HISTÓRICO                                                                                                                                                                                                                    
TRABAJADOR OPERATIVO B;794908.00;1.000;11; ;CONSERJE                                                                                                                                                                                                                                                        
TRABAJADOR OPERATIVO B;794908.00;1.000;11; ;CONSERJE                                                                                                                                                                                                                                                        
TRABAJADOR OPERATIVO B;794908.00;1.000;11; ;REVISOR DE SALIDA DE RECURSOS BIBLIOGRÁFICOS Y EQUIPO                                                                                                                                                                                                           
PROFESIONAL B;1501016.00;1.000;11; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;419837.90;0.500;0; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;67534.55;0.125;5;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;886099.00;1.000;11; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESOR INSTRUCTOR                    ;1655556.00;1.000;13; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;979541.00;1.000;6; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1471659.00;1.000;11; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TECNICO ASISTENCIAL A;713193.00;1.000;9; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TRABAJADOR OPERATIVO C;1475239.00;1.000;11; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;1630093.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1333712.00;1.000;11; ;JEFATURA ADMINISTRATIVA A DE CENTRO                                                                                                                                                                                                                             
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;149566.30;0.125;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;307317.25;0.250;9; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;511167.50;0.500;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;782891.50;0.500;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR EXBECARIO DOCTORADO           ;2494574.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;976795.55;0.750;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;225600.75;0.250;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;188927.05;0.313;2; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1038609.00;1.000;11; ;ASISTENTE DE BECAS Y ATENCIÓN SOCIOECONÓMICA                                                                                                                                                                                                                    
PROFESOR INVITADO II AÑO, EXBEC.DOCTOR ;2059068.00;1.000;9; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1696675.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1278544.00;1.000;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;52479.70;0.063;3;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;886099.00;1.000;11; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESOR INTERINO LICENCIADO           ;52479.70;0.063;4;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;800102.25;0.750;7; ;PROFESIONAL EN DISEÑO GRÁFICO                                                                                                                                                                                                                                   
TECNICO ESPECIALIZADO A;912968.00;1.000;11; ;ELECTRICISTA                                                                                                                                                                                                                                                    
TECNICO ESPECIALIZADO D;1142360.00;1.000;11; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;213858.50;0.250;2; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1218943.80;1.000;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1274632.00;1.000;7; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1202148.00;1.000;7; ;PROFESIONAL COORDINADOR A DE BIBLIOTECA                                                                                                                                                                                                                         
PROFESOR INTERINO;915234.75;1.000;6; ;PROFESIONAL EN EDICIÓN DE REVISTA                                                                                                                                                                                                                               
PROFESOR INSTRUCTOR                    ;168030.55;0.125;10; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;784965.00;1.000;4; ;FACILITADOR EN EL TRÁMITE DE PROYECTOS DE EXTENSIÓN CULTURAL Y DOCENTE                                                                                                                                                                                          
PROFESOR INTERINO LICENCIADO           ;953533.00;1.000;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;217798.25;0.250;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;104959.45;0.125;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;662961.30;0.775;2; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;539616.00;1.000;2; ;TÉCNICO DE LABORATORIO EN BIOLOGÍA                                                                                                                                                                                                                              
PROFESIONAL B;1065126.00;1.000;5; ;PROFESIONAL EN APOYO A LA INVESTIGACIÓN DE VIROLOGÍA DE PLANTAS                                                                                                                                                                                                 
TECNICO ESPECIALIZADO D;1078144.00;1.000;11; ;INSTRUCTOR DE DANZA                                                                                                                                                                                                                                             
PROFESOR INTERINO LICENCIADO           ;1240111.00;1.000;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;329556.25;0.250;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;527146.00;0.500;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;975960.00;1.000;5; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;712047.00;1.000;7; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;0; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;712047.00;1.000;7; ;TÉCNICO EN DISEÑO GRÁFICO                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;1018311.75;1.000;7; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO A;775010.00;1.000;11; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
PROFESIONAL B;2233363.00;1.000;10; ;PROFESIONAL  EN PROCESO DE ADECUACIONES PARA PRUEBAS DE ADMISIÓN                                                                                                                                                                                                
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;5; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;962628.40;0.850;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;419838.00;0.500;1; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;52479.70;0.063;1;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR INVITADO I AÑO, EXBEC.DOCTOR  ;1708557.00;1.000;1; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;700993.50;0.500;9; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;52479.70;0.063;5;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1181625.50;1.000;6; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;986926.00;1.000;9; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESOR INVITADO II AÑO, EXBEC.DOCTOR ;1480095.00;1.000;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;213858.50;0.250;2; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO A;912968.00;1.000;11; ;ENCARGADO DE RESGUARDO DE MATERIALES PARA USO ANTIOFÍDICO                                                                                                                                                                                                       
TRABAJADOR OPERATIVO C;1117886.00;1.000;11; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;435596.50;0.500;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR EXBECARIO DOCTORADO           ;1877535.00;1.000;3; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1232836.00;1.000;11; ;SUPERVISOR DE SEGURIDAD                                                                                                                                                                                                                                         
TRABAJADOR OPERATIVO C;1117886.00;1.000;11; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TRABAJADOR OPERATIVO C;1117886.00;1.000;11; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR ASOCIADO                      ;2365015.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;427717.00;0.500;2; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;577894.35;0.550;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;943823.00;1.000;5; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;90964.90;0.125;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;866051.00;1.000;11; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;213858.50;0.250;2; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;0; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1532194.00;1.000;11; ;SUPERVISOR DE SEGURIDAD                                                                                                                                                                                                                                         
TECNICO ASISTENCIAL B;886099.00;1.000;11; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
PROFESOR INTERINO LICENCIADO           ;1117073.00;1.000;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INVITADO II AÑO, EXBEC.DOCTOR ;2087943.00;1.000;1; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;902403.00;1.000;4; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;608763.00;1.000;5; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
PROFESIONAL A;1179206.00;1.000;10; ;FACILITADOR EN EL TRÁMITE DE CONVENIOS DE COOPERACIÓN INTERNACIONAL                                                                                                                                                                                             
PROFESOR INTERINO LICENCIADO           ;918160.85;1.000;5; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;913713.00;1.000;9; ;ENCARGADO DE SERVICIOS ADMINISTRATIVOS DE CENTRO                                                                                                                                                                                                                
PROFESOR INTERINO LICENCIADO           ;274884.80;0.375;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1039773.00;1.000;5; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1369530.00;1.000;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;419838.00;0.500;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;167912.30;0.125;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;146202.05;0.156;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;195924.40;0.500;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;106929.20;0.125;9; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;419838.00;0.500;2; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;419444.50;0.375;8; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;627005.00;1.000;1; ;TÉCNICO EN APOYO A INVESTIGACIONES FARMACÉUTICAS                                                                                                                                                                                                                
PROFESOR INTERINO LICENCIADO           ;1335469.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;713193.00;1.000;10; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;435596.50;0.500;5; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1532194.00;1.000;11; ;SUPERVISOR DE SEGURIDAD                                                                                                                                                                                                                                         
TRABAJADOR OPERATIVO C;1325554.00;1.000;11; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESIONAL A;743856.00;1.000;4; ;FACILITADOR EN EL TRÁMITE DE PROYECTOS DE EXTENSIÓN CULTURAL Y DOCENTE                                                                                                                                                                                          
TECNICO ASISTENCIAL A;207792.50;0.250;11; ;GUARDAVIDAS                                                                                                                                                                                                                                                     
TECNICO ASISTENCIAL B;886099.00;1.000;11; ;CAJERO A                                                                                                                                                                                                                                                        
TECNICO ASISTENCIAL B;886099.00;1.000;11; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
PROFESOR INV. II AÑO SEP-CONARE AS INST;1613253.05;1.000;11; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1117886.00;1.000;11; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;839676.00;1.000;0; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1691885.00;1.000;11; ;PROFESIONAL EN EDUCACIÓN PREESCOLAR                                                                                                                                                                                                                             
TRABAJADOR OPERATIVO C;804650.00;1.000;11; ;AUXILIAR DE LABORATORIO                                                                                                                                                                                                                                         
PROFESIONAL B;858311.00;1.000;2; ;PROFESIONAL EN FILOLOGÍA                                                                                                                                                                                                                                        
PROFESOR CATEDRATICO                   ;2455453.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;382897.75;0.250;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;147596.55;0.125;9; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;174838.90;0.125;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1035287.00;1.000;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1245027.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;109330.35;0.125;11; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR INVITADO II AÑO, EXBEC.DOCTOR ;2736519.00;1.000;6; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1183443.00;1.000;11; ;PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      
PROFESOR INTERINO LICENCIADO           ;1487300.00;1.000;7; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1117886.00;1.000;11; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO B;744023.00;1.000;8; ;TÉCNICO EN APOYO AL PROCESO DE DANZA UNIVERSITARIA                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;1117626.85;1.000;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;481805.00;0.250;11; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO A;862168.00;1.000;11; ;TÉCNICO EN GESTIÓN DE POSGRADOS A                                                                                                                                                                                                                               
TECNICO ESPECIALIZADO D;983033.50;1.000;11; ;PENDIENTE                                                                                                                                                                                                                                                       
TECNICO ASISTENCIAL A;606167.00;1.000;8; ;ASISTENTE EN ARCHIVÍSTICA                                                                                                                                                                                                                                       
TECNICO ASISTENCIAL B;886099.00;1.000;11; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TECNICO ASISTENCIAL B;886099.00;1.000;11; ;ASISTENTE DE LABORATORIO                                                                                                                                                                                                                                        
TRABAJADOR OPERATIVO C;1411486.00;1.000;11; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO D;1079968.00;1.000;11; ;ENCARGADO DE SERVICIOS ADMINISTRATIVOS DE CENTRO                                                                                                                                                                                                                
PROFESIONAL C;1483694.00;1.000;11; ;
PROFESIONAL B;970553.00;0.500;11; ;PROFESIONAL EN EDUCACIÓN ESPECIAL CASED                                                                                                                                                                                                                         
TECNICO ASISTENCIAL A;831170.00;1.000;11; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;1368696.00;1.000;9; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;609870.00;1.000;9; ;CHOFER                                                                                                                                                                                                                                                          
TRABAJADOR OPERATIVO C;1325554.00;1.000;11; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TECNICO ASISTENCIAL A;831170.00;1.000;11; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TRABAJADOR OPERATIVO B;794908.00;1.000;11; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESOR INSTRUCTOR                    ;172304.70;0.125;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;345539.50;0.250;8; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;794908.00;1.000;11; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESIONAL B;1409030.00;1.000;11; ;
TECNICO ESPECIALIZADO D;1091066.00;1.000;10; ;LOCUTOR                                                                                                                                                                                                                                                         
PROFESOR INTERINO LICENCIADO           ;213858.50;0.250;4; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;714558.00;1.000;10; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;1066475.00;1.000;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;147596.55;0.125;9; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;861335.00;1.000;10; ;ASISTENTE EN REDACCIÓN Y TRANSCRIPCIÓN DE ACTAS                                                                                                                                                                                                                 
TECNICO ESPECIALIZADO B;484394.00;0.500;11; ;TÉCNICO EN ASISTENCIA DENTAL                                                                                                                                                                                                                                    
TRABAJADOR OPERATIVO B;1186387.00;1.000;11; ;MENSAJERO                                                                                                                                                                                                                                                       
TRABAJADOR OPERATIVO C;802292.00;1.000;11; ;CHOFER                                                                                                                                                                                                                                                          
PROFESOR INSTRUCTOR                    ;1427298.00;1.000;10; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;736618.00;1.000;10; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;664048.00;0.500;10; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;831170.00;1.000;11; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INSTRUCTOR                    ;170089.45;0.125;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;262323.75;0.156;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1007027.00;1.000;5; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;134423.20;1.000;4;MES INCOMPLETO;CAMARÓGRAFO                                                                                                                                                                                                                                                     
TECNICO ASISTENCIAL A;831170.00;1.000;11; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;935383.35;0.500;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;0; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;855698.30;0.876;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;886951.00;1.000;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;837021.00;0.750;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;1542752.00;1.000;8; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;575863.00;1.000;7; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;108899.05;0.125;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;584253.65;0.625;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;455481.65;0.375;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;99255.50;0.188;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1133585.00;1.000;6; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;833540.00;1.000;7; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
TECNICO ESPECIALIZADO B;564892.00;1.000;5; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
TECNICO ASISTENCIAL B;872791.00;1.000;11; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TECNICO ESPECIALIZADO D;761257.00;1.000;5; ;TÉCNICO EN INVESTIGACIÓN PARA LA PRESERVACIÓN DE COLECCIONES NATURALES                                                                                                                                                                                          
PROFESOR INSTRUCTOR                    ;220756.25;0.156;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;59109.60;0.125;3;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;723182.00;1.000;5; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO D;745171.00;1.000;8; ;TÉCNICO DE LABORATORIO EN BIOLOGÍA GENÉTICA                                                                                                                                                                                                                     
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;251834.25;0.250;6; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;1203932.00;1.000;5; ;PROFESIONAL EN ASESORÍA LEGAL DEL SEP                                                                                                                                                                                                                           
PROFESIONAL A;906462.00;1.000;6; ;LABORES DE PROFESIONAL EN PERIODISMO                                                                                                                                                                                                                            
PROFESOR INTERINO;831320.00;1.000;7; ;ASISTENTE DE LABORATORIO DE IDIOMAS                                                                                                                                                                                                                             
TECNICO ESPECIALIZADO D;1063141.00;1.000;10; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO B;835169.00;1.000;9; ;TÉCNICO DE LABORATORIO EN QUÍMICA DE TECNOLOGÍA DE ALIMENTOS                                                                                                                                                                                                    
PROFESOR INSTRUCTOR                    ;147605.70;0.125;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;265897.40;0.375;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;427716.90;0.500;2; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;427717.00;0.500;2; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1241384.00;1.000;10; ;PROFESIONAL EN GESTIÓN INTEGRAL DE PAGO                                                                                                                                                                                                                         
TRABAJADOR OPERATIVO C;1347036.00;1.000;11; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;943823.00;1.000;4; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1261105.00;1.000;11; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;659777.50;0.500;11; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1304071.00;1.000;11; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;1205666.00;1.000;5; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;1584196.00;1.000;6; ;PROFESIONAL EN ASESORÍA LEGAL                                                                                                                                                                                                                                   
